Department of Audits and Accounts,,,,
Obligations,,,,
,Organization,Vendor Name,Obligation Amount,Fiscal Year
,GEORGIA STATE UNIVERSITY,175PIEDMON-001,19000000.00,2010
,GEORGIA STATE UNIVERSITY,A&DPAINTIN-001,472380.00,2010
,GEORGIA STATE UNIVERSITY,AAFINTERNA-001,6592.50,2010
,GEORGIA STATE UNIVERSITY,AARONSGREG-001,10000.00,2010
,GEORGIA STATE UNIVERSITY,ABSCIEXLLC-001,17490.00,2010
,GEORGIA STATE UNIVERSITY,"ADAMS,HOLL-001",243.00,2010
,GEORGIA STATE UNIVERSITY,ADCAPNETWO-001,207080.10,2010
,GEORGIA STATE UNIVERSITY,ADI-001,5490.34,2010
,GEORGIA STATE UNIVERSITY,ADT SECURI-001,7326.00,2010
,GEORGIA STATE UNIVERSITY,ADVANCEDEL-001,598.00,2010
,GEORGIA STATE UNIVERSITY,ADVISORYBO-001,11500.00,2010
,GEORGIA STATE UNIVERSITY,AECOMTECHN-001,25000.00,2010
,GEORGIA STATE UNIVERSITY,AFAPROTECT-001,5401.00,2010
,GEORGIA STATE UNIVERSITY,AFFYMETRIX-001,6492.00,2010
,GEORGIA STATE UNIVERSITY,"AGARWAL,VI-001",1500.00,2010
,GEORGIA STATE UNIVERSITY,AGILENTTEC-002,55726.30,2010
,GEORGIA STATE UNIVERSITY,"AHOLOU,TIF-001",410.00,2010
,GEORGIA STATE UNIVERSITY,AIRFLOTEK-001,2850.00,2010
,GEORGIA STATE UNIVERSITY,AJCONSTRUC-001,6500.00,2010
,GEORGIA STATE UNIVERSITY,ALBANYSTAT-003,7000.00,2010
,GEORGIA STATE UNIVERSITY,"ALBERTO,PA-001",1008.02,2010
,GEORGIA STATE UNIVERSITY,ALLSEATING-002,329630.63,2010
,GEORGIA STATE UNIVERSITY,"ALMOND,IAN-001",810.00,2010
,GEORGIA STATE UNIVERSITY,"AMBROSINO,-001",0.01,2010
,GEORGIA STATE UNIVERSITY,AMERICANEL-005,965.13,2010
,GEORGIA STATE UNIVERSITY,AMERICANSY-001,4650.00,2010
,GEORGIA STATE UNIVERSITY,"ANDERSON,J-005",197.45,2010
,GEORGIA STATE UNIVERSITY,"ANDERSON,P-002",414.80,2010
,GEORGIA STATE UNIVERSITY,"ANDERSON,S-001",800.00,2010
,GEORGIA STATE UNIVERSITY,ANDYWEISKO-001,4265.50,2010
,GEORGIA STATE UNIVERSITY,"ANGGORO,FL-001",230.01,2010
,GEORGIA STATE UNIVERSITY,ANIMALCARE-001,462137.83,2010
,GEORGIA STATE UNIVERSITY,APOSSYSTEM-001,11500.00,2010
,GEORGIA STATE UNIVERSITY,APPLECOMPU-001,391873.20,2010
,GEORGIA STATE UNIVERSITY,APPLEINC-001,49543.45,2010
,GEORGIA STATE UNIVERSITY,APPLIEDBIO-002,12495.00,2010
,GEORGIA STATE UNIVERSITY,APPLIEDRIS-001,6010.00,2010
,GEORGIA STATE UNIVERSITY,APRISATECH-001,4888.88,2010
,GEORGIA STATE UNIVERSITY,AQUATICASS-001,1300.00,2010
,GEORGIA STATE UNIVERSITY,ARCSIGHTIN-001,239067.00,2010
,GEORGIA STATE UNIVERSITY,"ARMISTEAD,-001",1453.15,2010
,GEORGIA STATE UNIVERSITY,"ARNOLD,CHE-001",870.29,2010
,GEORGIA STATE UNIVERSITY,"ARNOLD,SHI-001",3671.00,2010
,GEORGIA STATE UNIVERSITY,ASIMODULEX-001,38672.76,2010
,GEORGIA STATE UNIVERSITY,ASLANREALT-001,30194.01,2010
,GEORGIA STATE UNIVERSITY,ASSOCIATED-008,4454.00,2010
,GEORGIA STATE UNIVERSITY,ATLANTAFIX-001,1800.00,2010
,GEORGIA STATE UNIVERSITY,ATLANTAOFF-001,375.00,2010
,GEORGIA STATE UNIVERSITY,ATLANTAPUB-004,83947.00,2010
,GEORGIA STATE UNIVERSITY,ATLANTAWES-001,36294.04,2010
,GEORGIA STATE UNIVERSITY,AUDIOVISUA-004,30386.25,2010
,GEORGIA STATE UNIVERSITY,AURANMEDIA-001,31000.00,2010
,GEORGIA STATE UNIVERSITY,AUSTINKE-001,11841.83,2010
,GEORGIA STATE UNIVERSITY,AVATARCOMM-001,5125.00,2010
,GEORGIA STATE UNIVERSITY,AVAYAINC-001,72972.04,2010
,GEORGIA STATE UNIVERSITY,B&HPOTOVID-001,180847.90,2010
,GEORGIA STATE UNIVERSITY,B2BCOMPUTE-001,9518.00,2010
,GEORGIA STATE UNIVERSITY,"BAGNUOLO,W-001",1238.40,2010
,GEORGIA STATE UNIVERSITY,BAKER&DANI-001,7736.43,2010
,GEORGIA STATE UNIVERSITY,BAKERPAINT-001,14421.50,2010
,GEORGIA STATE UNIVERSITY,"BALL,MARYM-001",154.84,2010
,GEORGIA STATE UNIVERSITY,"BANZHAF,HE-001",408.00,2010
,GEORGIA STATE UNIVERSITY,BARBERANRE-001,200.00,2010
,GEORGIA STATE UNIVERSITY,"BARCLAY,CH-001",200.00,2010
,GEORGIA STATE UNIVERSITY,"BARKER,ROB-001",147.15,2010
,GEORGIA STATE UNIVERSITY,"BARTON,AND-001",1680.38,2010
,GEORGIA STATE UNIVERSITY,BARTONMAL-002,1719700.00,2010
,GEORGIA STATE UNIVERSITY,BASICSERVI-001,260.00,2010
,GEORGIA STATE UNIVERSITY,BASKERVILL-001,664.10,2010
,GEORGIA STATE UNIVERSITY,"BASSETT,JA-001",900.00,2010
,GEORGIA STATE UNIVERSITY,"BATEMAN,ED-001",1273.36,2010
,GEORGIA STATE UNIVERSITY,BAUERDEBOR-002,12500.00,2010
,GEORGIA STATE UNIVERSITY,BAUMGARTNE-002,25945.80,2010
,GEORGIA STATE UNIVERSITY,"BAYAZIT,NE-001",1400.01,2010
,GEORGIA STATE UNIVERSITY,BCGROUP-001,3580.20,2010
,GEORGIA STATE UNIVERSITY,BDBIOSCIEN-001,251600.01,2010
,GEORGIA STATE UNIVERSITY,BEALALVARE-001,0.02,2010
,GEORGIA STATE UNIVERSITY,"BEARDEN,DO-001",851.40,2010
,GEORGIA STATE UNIVERSITY,"BECK,ELIZA-001",646.00,2010
,GEORGIA STATE UNIVERSITY,"BECKER,MAR-001",14806.95,2010
,GEORGIA STATE UNIVERSITY,BEGUTHRIEC-001,172933.00,2010
,GEORGIA STATE UNIVERSITY,BENNECAROL-002,14.00,2010
,GEORGIA STATE UNIVERSITY,"BENNETT,SH-002",4171.00,2010
,GEORGIA STATE UNIVERSITY,"BENSON,GWE-001",5137.60,2010
,GEORGIA STATE UNIVERSITY,BESTBUYGOV-001,735.99,2010
,GEORGIA STATE UNIVERSITY,BH-001,50482.00,2010
,GEORGIA STATE UNIVERSITY,"BHATIA,GAU-001",1826.76,2010
,GEORGIA STATE UNIVERSITY,"BHATT,RACH-001",2000.00,2010
,GEORGIA STATE UNIVERSITY,BIBSTENTER-001,7950.00,2010
,GEORGIA STATE UNIVERSITY,BILTMORECO-001,43782.39,2010
,GEORGIA STATE UNIVERSITY,BIOLINSCIE-001,115180.00,2010
,GEORGIA STATE UNIVERSITY,BIONIQUEST-001,21478.00,2010
,GEORGIA STATE UNIVERSITY,BIOPACSYST-001,200.00,2010
,GEORGIA STATE UNIVERSITY,BIORADLABO-001,170.57,2010
,GEORGIA STATE UNIVERSITY,BIOTAGELLL-001,25710.05,2010
,GEORGIA STATE UNIVERSITY,BLACKBOARD-001,14341.09,2010
,GEORGIA STATE UNIVERSITY,"BLASI,RONA-001",1600.01,2010
,GEORGIA STATE UNIVERSITY,"BLISS,LISA-001",70.00,2010
,GEORGIA STATE UNIVERSITY,BLUERIVERG-001,313520.00,2010
,GEORGIA STATE UNIVERSITY,BOARDOFREG-001,1054116.42,2010
,GEORGIA STATE UNIVERSITY,BORNAKIMB-001,8000.00,2010
,GEORGIA STATE UNIVERSITY,"BOSCH,REBE-001",24.00,2010
,GEORGIA STATE UNIVERSITY,"BOWIE,JENN-001",1000.00,2010
,GEORGIA STATE UNIVERSITY,"BOYAJIAN,T-001",1640.00,2010
,GEORGIA STATE UNIVERSITY,"BRANDON,LE-001",960.00,2010
,GEORGIA STATE UNIVERSITY,"BRANSCOMB,-002",10.00,2010
,GEORGIA STATE UNIVERSITY,"BRATTAIN,M-001",1497.87,2010
,GEORGIA STATE UNIVERSITY,BRENTPUBLI-001,6995.00,2010
,GEORGIA STATE UNIVERSITY,BRIGHAMAND-001,11666.00,2010
,GEORGIA STATE UNIVERSITY,"BRISON,NAT-001",460.00,2010
,GEORGIA STATE UNIVERSITY,BROCADECOM-001,139000.00,2010
,GEORGIA STATE UNIVERSITY,BROOKESPU-001,1322.23,2010
,GEORGIA STATE UNIVERSITY,BROOKSIDEA-001,10452.44,2010
,GEORGIA STATE UNIVERSITY,BROOKWOODP-001,96594.00,2010
,GEORGIA STATE UNIVERSITY,"BROWN,SHAW-001",4052.75,2010
,GEORGIA STATE UNIVERSITY,BROWNBROTH-001,91720.00,2010
,GEORGIA STATE UNIVERSITY,BROWNCARLO-001,29400.01,2010
,GEORGIA STATE UNIVERSITY,BROWNRANDY-001,673.80,2010
,GEORGIA STATE UNIVERSITY,"BRUGGEMAN,-001",500.00,2010
,GEORGIA STATE UNIVERSITY,BRUKERINSP-001,296600.00,2010
,GEORGIA STATE UNIVERSITY,BRUKEROP-001,91251.93,2010
,GEORGIA STATE UNIVERSITY,"BRYANT,ANN-001",291.30,2010
,GEORGIA STATE UNIVERSITY,"BRYANT,LAW-001",1071.80,2010
,GEORGIA STATE UNIVERSITY,"BUCHANAN,A-001",227.64,2010
,GEORGIA STATE UNIVERSITY,"BUNTING,JO-001",1386.00,2010
,GEORGIA STATE UNIVERSITY,"BURNEY,CAS-001",50.00,2010
,GEORGIA STATE UNIVERSITY,BURPERCORP-003,34953.25,2010
,GEORGIA STATE UNIVERSITY,"BURTLE,LAU-001",1171.45,2010
,GEORGIA STATE UNIVERSITY,BUSHWACK-001,6499.00,2010
,GEORGIA STATE UNIVERSITY,"BUTLER,ANN-001",974.99,2010
,GEORGIA STATE UNIVERSITY,"BUTTS,CARR-001",89.00,2010
,GEORGIA STATE UNIVERSITY,"BUTTS,JOHN-001",8850.00,2010
,GEORGIA STATE UNIVERSITY,"BYRUM,LAUR-001",528.10,2010
,GEORGIA STATE UNIVERSITY,"CALDWELL,S-001",15.00,2010
,GEORGIA STATE UNIVERSITY,"CALEY,SYLV-001",100.01,2010
,GEORGIA STATE UNIVERSITY,CALHOUNBRO-001,1032.00,2010
,GEORGIA STATE UNIVERSITY,CAMBRIDGEC-001,552253.00,2010
,GEORGIA STATE UNIVERSITY,CANONBUSIN-002,28195.33,2010
,GEORGIA STATE UNIVERSITY,CANONUSAIN-001,25308.33,2010
,GEORGIA STATE UNIVERSITY,CAPITALXRA-001,17120.00,2010
,GEORGIA STATE UNIVERSITY,"CAREY,HENR-001",1000.00,2010
,GEORGIA STATE UNIVERSITY,CARITHERSW-002,1124666.00,2010
,GEORGIA STATE UNIVERSITY,CARLSTENSA-001,3449.30,2010
,GEORGIA STATE UNIVERSITY,CARLWALKER-001,22170.13,2010
,GEORGIA STATE UNIVERSITY,CARLZEISSM-001,306654.56,2010
,GEORGIA STATE UNIVERSITY,CARLZEISSS-002,69414.13,2010
,GEORGIA STATE UNIVERSITY,CARMICHAEL-030,3482.43,2010
,GEORGIA STATE UNIVERSITY,CAROLINA B-001,13246.34,2010
,GEORGIA STATE UNIVERSITY,CAROLINABU-001,10076.19,2010
,GEORGIA STATE UNIVERSITY,CAROLINABU-002,92590.98,2010
,GEORGIA STATE UNIVERSITY,CAROUSELIN-001,14397.64,2010
,GEORGIA STATE UNIVERSITY,"CARRILLO,P-001",1266.01,2010
,GEORGIA STATE UNIVERSITY,"CARTON,ADA-001",500.00,2010
,GEORGIA STATE UNIVERSITY,CASOUTHLLC-001,188500.00,2010
,GEORGIA STATE UNIVERSITY,CASTLEBERR-009,276.20,2010
,GEORGIA STATE UNIVERSITY,"CAVUSGIL,S-001",333.51,2010
,GEORGIA STATE UNIVERSITY,"CAVUSGIL,S-002",995.10,2010
,GEORGIA STATE UNIVERSITY,CDWGOVERNM-001,62785.64,2010
,GEORGIA STATE UNIVERSITY,CENTERFORT-002,269498.24,2010
,GEORGIA STATE UNIVERSITY,"CHAIVEERA,-001",884.03,2010
,GEORGIA STATE UNIVERSITY,"CHANG,JIHY-001",500.00,2010
,GEORGIA STATE UNIVERSITY,"CHARANIA,M-001",285.20,2010
,GEORGIA STATE UNIVERSITY,"CHEN,GUANT-001",104.76,2010
,GEORGIA STATE UNIVERSITY,"CHEN,YAN-003",250.00,2010
,GEORGIA STATE UNIVERSITY,"CHISHOLM,G-001",470.00,2010
,GEORGIA STATE UNIVERSITY,CHOATECONS-001,483616.71,2010
,GEORGIA STATE UNIVERSITY,CHROMCRAFT-001,11656.50,2010
,GEORGIA STATE UNIVERSITY,"CIANFRONE,-001",1743.92,2010
,GEORGIA STATE UNIVERSITY,CINEMASSIV-001,143148.00,2010
,GEORGIA STATE UNIVERSITY,CITYOFATLA-003,593195.84,2010
,GEORGIA STATE UNIVERSITY,"CLARK,JEFF-001",10.00,2010
,GEORGIA STATE UNIVERSITY,"CLARK,JOHN-001",3375.30,2010
,GEORGIA STATE UNIVERSITY,CNNA ARCHI-001,25450.00,2010
,GEORGIA STATE UNIVERSITY,"COBB,LA'CO-001",23.50,2010
,GEORGIA STATE UNIVERSITY,"COCHRAN,EM-001",59.06,2010
,GEORGIA STATE UNIVERSITY,CODDINGTON-002,1100.00,2010
,GEORGIA STATE UNIVERSITY,"COHEN,EILE-001",437.34,2010
,GEORGIA STATE UNIVERSITY,"COHEN,LIND-001",2220.00,2010
,GEORGIA STATE UNIVERSITY,COLBENBUSI-001,2678.40,2010
,GEORGIA STATE UNIVERSITY,COLDSPRING-001,2109.00,2010
,GEORGIA STATE UNIVERSITY,"COLEMAN,DI-001",2292.50,2010
,GEORGIA STATE UNIVERSITY,COLEMANAME-001,169505.54,2010
,GEORGIA STATE UNIVERSITY,COLLEGEBOA-003,25865.00,2010
,GEORGIA STATE UNIVERSITY,COLLINSCOO-001,10750.00,2010
,GEORGIA STATE UNIVERSITY,COMPUCOM-002,20824.38,2010
,GEORGIA STATE UNIVERSITY,COMPUTERCO-001,2020.00,2010
,GEORGIA STATE UNIVERSITY,COMPUTERST-001,76901.28,2010
,GEORGIA STATE UNIVERSITY,COMPUTERTR-001,5200.00,2010
,GEORGIA STATE UNIVERSITY,CONCORDPRO-001,22375.00,2010
,GEORGIA STATE UNIVERSITY,CONNECTIVI-001,14498.50,2010
,GEORGIA STATE UNIVERSITY,CONTRACTBU-001,4110.00,2010
,GEORGIA STATE UNIVERSITY,COOPERCAR-002,300000.00,2010
,GEORGIA STATE UNIVERSITY,COOPERCOMP-001,1724312.09,2010
,GEORGIA STATE UNIVERSITY,"COREY,SHAN-001",487.10,2010
,GEORGIA STATE UNIVERSITY,CORKHOWARD-001,223171.77,2010
,GEORGIA STATE UNIVERSITY,CORNIAGARY-002,5000.00,2010
,GEORGIA STATE UNIVERSITY,CORPORATEN-001,37114.04,2010
,GEORGIA STATE UNIVERSITY,COVENDISTE-001,696425.00,2010
,GEORGIA STATE UNIVERSITY,COVERAGECO-001,33070.00,2010
,GEORGIA STATE UNIVERSITY,COXRADIOGR-001,5000.00,2010
,GEORGIA STATE UNIVERSITY,CPPINC-002,198.50,2010
,GEORGIA STATE UNIVERSITY,"CRAIG,JERE-001",500.01,2010
,GEORGIA STATE UNIVERSITY,CRAPPSWILL-001,12153.86,2010
,GEORGIA STATE UNIVERSITY,"CRAWFORD,C-001",1237.91,2010
,GEORGIA STATE UNIVERSITY,CREATIVEOF-001,28998.32,2010
,GEORGIA STATE UNIVERSITY,CRESTLINEH-001,7503.00,2010
,GEORGIA STATE UNIVERSITY,"CRIMMINS,D-001",2083.92,2010
,GEORGIA STATE UNIVERSITY,CRLCONSULT-001,42481.96,2010
,GEORGIA STATE UNIVERSITY,"CROSS,STEP-001",1070.00,2010
,GEORGIA STATE UNIVERSITY,CUMMINGCOR-001,10116.00,2010
,GEORGIA STATE UNIVERSITY,"CURRY,WILL-001",400.00,2010
,GEORGIA STATE UNIVERSITY,D.G.AIKENP-001,600.00,2010
,GEORGIA STATE UNIVERSITY,"DANIS,WADE-001",1436.00,2010
,GEORGIA STATE UNIVERSITY,"DAS,PRASHA-001",525.01,2010
,GEORGIA STATE UNIVERSITY,"DAS,SONALI-001",2001.95,2010
,GEORGIA STATE UNIVERSITY,DATALINK C-001,40300.00,2010
,GEORGIA STATE UNIVERSITY,"DAVIS,MARN-001",440.00,2010
,GEORGIA STATE UNIVERSITY,DEHAANROBE-002,12000.00,2010
,GEORGIA STATE UNIVERSITY,DEKALBCOUN-001,61000.00,2010
,GEORGIA STATE UNIVERSITY,DEKALBCOUN-005,4037.59,2010
,GEORGIA STATE UNIVERSITY,DEKALBOFFI-001,159065.27,2010
,GEORGIA STATE UNIVERSITY,"DELAROCHE,-001",1386.40,2010
,GEORGIA STATE UNIVERSITY,DELLMARKET-001,2010097.18,2010
,GEORGIA STATE UNIVERSITY,"DEMIR,KADI-001",800.00,2010
,GEORGIA STATE UNIVERSITY,DEPARTMENT-001,56157.89,2010
,GEORGIA STATE UNIVERSITY,DEPENDABLE-002,4058.54,2010
,GEORGIA STATE UNIVERSITY,"DESIR,STEV-001",462.80,2010
,GEORGIA STATE UNIVERSITY,DHLSMARTGL-001,37503.80,2010
,GEORGIA STATE UNIVERSITY,"DIETZ,NIKO-001",1598.58,2010
,GEORGIA STATE UNIVERSITY,DIGILABINC-001,54498.00,2010
,GEORGIA STATE UNIVERSITY,DIMASCONSU-001,103593.75,2010
,GEORGIA STATE UNIVERSITY,DINGFELDER-001,10.00,2010
,GEORGIA STATE UNIVERSITY,DIRECPATH-001,75403.94,2010
,GEORGIA STATE UNIVERSITY,DIRECTA-001,458.05,2010
,GEORGIA STATE UNIVERSITY,DIVERSIFIE-008,3865.18,2010
,GEORGIA STATE UNIVERSITY,DKLIPPYCON-001,40591.00,2010
,GEORGIA STATE UNIVERSITY,DMXMUSIC-001,2900.68,2010
,GEORGIA STATE UNIVERSITY,"DOBBS,RAND-001",306.40,2010
,GEORGIA STATE UNIVERSITY,DOCUTEAM-001,1825.12,2010
,GEORGIA STATE UNIVERSITY,DOERRBRIDG-001,5400.00,2010
,GEORGIA STATE UNIVERSITY,DONCOINC-001,91000.00,2010
,GEORGIA STATE UNIVERSITY,"DOUGLAS,ST-001",394.00,2010
,GEORGIA STATE UNIVERSITY,"DUMAS,LATR-001",301.20,2010
,GEORGIA STATE UNIVERSITY,"DUNCAN,ANN-001",9880.00,2010
,GEORGIA STATE UNIVERSITY,"DURACH,MAX-001",1155.00,2010
,GEORGIA STATE UNIVERSITY,DURHAMCROU-001,94800.00,2010
,GEORGIA STATE UNIVERSITY,DYNALABCOR-001,42375.80,2010
,GEORGIA STATE UNIVERSITY,"EAST,CYNTH-001",48.00,2010
,GEORGIA STATE UNIVERSITY,EASTERBROO-001,1978.74,2010
,GEORGIA STATE UNIVERSITY,EBIXCOMINC-001,249.48,2010
,GEORGIA STATE UNIVERSITY,ECSSOUTHE-001,6858.48,2010
,GEORGIA STATE UNIVERSITY,"EDMUNDSON,-001",1510.01,2010
,GEORGIA STATE UNIVERSITY,EDUCATIONA-001,1093.98,2010
,GEORGIA STATE UNIVERSITY,EDWARDDAVI-001,3405.48,2010
,GEORGIA STATE UNIVERSITY,"EDWARDS,DO-001",3900.00,2010
,GEORGIA STATE UNIVERSITY,EDWARDSGAU-001,775.82,2010
,GEORGIA STATE UNIVERSITY,EHMKECLIFF-001,6092.00,2010
,GEORGIA STATE UNIVERSITY,EHS-001,110.00,2010
,GEORGIA STATE UNIVERSITY,ELECTRONIC-012,9381.22,2010
,GEORGIA STATE UNIVERSITY,ELEVATOR-002,11410.00,2010
,GEORGIA STATE UNIVERSITY,"ELLIS,STEP-001",660.60,2010
,GEORGIA STATE UNIVERSITY,EM2DESIGNI-001,8632.18,2010
,GEORGIA STATE UNIVERSITY,"EMANUELS,G-001",430.00,2010
