Department of Audits and Accounts,,,,
Obligations,,,,
,Organization,Vendor Name,Obligation Amount,Fiscal Year
,GEORGIA STATE UNIVERSITY,EMBARKCORP-001,46669.00,2010
,GEORGIA STATE UNIVERSITY,EMCENGINEE-001,33602.15,2010
,GEORGIA STATE UNIVERSITY,EMORYUNIVE-001,172441.74,2010
,GEORGIA STATE UNIVERSITY,ENERGYACE-001,19200.00,2010
,GEORGIA STATE UNIVERSITY,ENGGROUPIN-001,7100.00,2010
,GEORGIA STATE UNIVERSITY,ENGINEERED-001,101876.00,2010
,GEORGIA STATE UNIVERSITY,ENTERPRISE-006,3281.29,2010
,GEORGIA STATE UNIVERSITY,ENTERPRISE-008,1693.40,2010
,GEORGIA STATE UNIVERSITY,ENVIRONMEN-025,10324.93,2010
,GEORGIA STATE UNIVERSITY,EPICRESPON-001,9314.88,2010
,GEORGIA STATE UNIVERSITY,EQINDUSTRI-001,51826.17,2010
,GEORGIA STATE UNIVERSITY,EREZLIFESO-001,10840.00,2010
,GEORGIA STATE UNIVERSITY,"ERIKSEN,MI-001",257.33,2010
,GEORGIA STATE UNIVERSITY,ESAMJONES-001,151622.40,2010
,GEORGIA STATE UNIVERSITY,ESCHER-001,587630.07,2010
,GEORGIA STATE UNIVERSITY,EVERGREEN-001,104175.83,2010
,GEORGIA STATE UNIVERSITY,EVERGREENS-001,29524.00,2010
,GEORGIA STATE UNIVERSITY,EXCELELECT-001,283990.00,2010
,GEORGIA STATE UNIVERSITY,EXEMPLISCO-001,3128.16,2010
,GEORGIA STATE UNIVERSITY,EXTREMENET-001,1212083.75,2010
,GEORGIA STATE UNIVERSITY,"FANI,NEGAR-001",500.00,2010
,GEORGIA STATE UNIVERSITY,FASTHEALTH-001,24000.00,2010
,GEORGIA STATE UNIVERSITY,"FEASTER,KI-001",253.45,2010
,GEORGIA STATE UNIVERSITY,FERRELLDER-002,29500.00,2010
,GEORGIA STATE UNIVERSITY,FISHERSCIE-001,1938762.70,2010
,GEORGIA STATE UNIVERSITY,FISHNET-001,4279.39,2010
,GEORGIA STATE UNIVERSITY,FISHNETSEC-001,119990.01,2010
,GEORGIA STATE UNIVERSITY,FIXTURESFU-001,80251.70,2010
,GEORGIA STATE UNIVERSITY,"FLETCHER,I-001",300.00,2010
,GEORGIA STATE UNIVERSITY,FLETCHERMA-002,197743.05,2010
,GEORGIA STATE UNIVERSITY,FLORIDALIB-001,6293.70,2010
,GEORGIA STATE UNIVERSITY,"FLOWERS,JI-001",600.00,2010
,GEORGIA STATE UNIVERSITY,"FOSTER,MAT-001",1000.00,2010
,GEORGIA STATE UNIVERSITY,FOTRONICCO-001,15458.85,2010
,GEORGIA STATE UNIVERSITY,"FOWLER'S,-001",777.42,2010
,GEORGIA STATE UNIVERSITY,"FOXWORTH,T-001",1850.00,2010
,GEORGIA STATE UNIVERSITY,"FREDRICK,L-001",1005.42,2010
,GEORGIA STATE UNIVERSITY,"FRENCH,JAC-001",130.95,2010
,GEORGIA STATE UNIVERSITY,"FROST,SHEL-001",10.00,2010
,GEORGIA STATE UNIVERSITY,"FULLER,WHI-001",10.00,2010
,GEORGIA STATE UNIVERSITY,FULLERELIZ-001,2490.00,2010
,GEORGIA STATE UNIVERSITY,FULTONCOUN-004,9291.46,2010
,GEORGIA STATE UNIVERSITY,FULTONCOUN-007,79000.00,2010
,GEORGIA STATE UNIVERSITY,"FUNES,CYNT-001",500.00,2010
,GEORGIA STATE UNIVERSITY,G&KSERVICE-001,3102.83,2010
,GEORGIA STATE UNIVERSITY,"GAETANO,DA-001",2995.14,2010
,GEORGIA STATE UNIVERSITY,"GAILLET,LY-001",985.00,2010
,GEORGIA STATE UNIVERSITY,"GAINES,RON-001",200.00,2010
,GEORGIA STATE UNIVERSITY,GALCHINSKY-001,830.40,2010
,GEORGIA STATE UNIVERSITY,"GALLAGHER,-001",100.01,2010
,GEORGIA STATE UNIVERSITY,"GAMA,ROBER-001",0.03,2010
,GEORGIA STATE UNIVERSITY,GAMRYINSTR-001,13411.50,2010
,GEORGIA STATE UNIVERSITY,"GARCIA,JOD-001",670.00,2010
,GEORGIA STATE UNIVERSITY,GARDENHIRE-002,400.00,2010
,GEORGIA STATE UNIVERSITY,GARFGATESG-001,13801.82,2010
,GEORGIA STATE UNIVERSITY,GARINCORPO-001,6662.00,2010
,GEORGIA STATE UNIVERSITY,GASSOUTH-001,138168.47,2010
,GEORGIA STATE UNIVERSITY,GC&ESYSTEM-001,29433.12,2010
,GEORGIA STATE UNIVERSITY,GEHEALTHCA-001,803878.28,2010
,GEORGIA STATE UNIVERSITY,"GEIL,MARKD-001",2039.00,2010
,GEORGIA STATE UNIVERSITY,GEORGIABIO-001,7034.41,2010
,GEORGIA STATE UNIVERSITY,GEORGIACAN-001,2976745.63,2010
,GEORGIA STATE UNIVERSITY,GEORGIACOL-001,1500.00,2010
,GEORGIA STATE UNIVERSITY,GEORGIADEP-007,4493.50,2010
,GEORGIA STATE UNIVERSITY,GEORGIAHEA-001,92824.70,2010
,GEORGIA STATE UNIVERSITY,GEORGIAPOW-001,250499.87,2010
,GEORGIA STATE UNIVERSITY,GEORGIATEC-005,39.79,2010
,GEORGIA STATE UNIVERSITY,GEORGIATEC-008,59057.77,2010
,GEORGIA STATE UNIVERSITY,GEORGIAWOR-001,30000.00,2010
,GEORGIA STATE UNIVERSITY,"GIBSON,LAU-001",2947.67,2010
,GEORGIA STATE UNIVERSITY,"GILMORE,GE-001",191.00,2010
,GEORGIA STATE UNIVERSITY,GLOBALEQUI-001,5222.56,2010
,GEORGIA STATE UNIVERSITY,GLOBALINDU-001,24559.99,2010
,GEORGIA STATE UNIVERSITY,GOLLIERCHR-001,12300.01,2010
,GEORGIA STATE UNIVERSITY,"GORDON,LES-001",245.41,2010
,GEORGIA STATE UNIVERSITY,"GORDON,ROB-001",2.00,2010
,GEORGIA STATE UNIVERSITY,GORDONDOC-001,280.77,2010
,GEORGIA STATE UNIVERSITY,GOWMACINST-001,101420.00,2010
,GEORGIA STATE UNIVERSITY,GRADYHEALT-001,2582.76,2010
,GEORGIA STATE UNIVERSITY,GRAEBEL-001,9302.10,2010
,GEORGIA STATE UNIVERSITY,"GRANT,MARK-001",819.40,2010
,GEORGIA STATE UNIVERSITY,"GREENBERG,-001",0.01,2010
,GEORGIA STATE UNIVERSITY,"GREENE,LYN-001",4481.92,2010
,GEORGIA STATE UNIVERSITY,"GREGOIRE,D-001",0.01,2010
,GEORGIA STATE UNIVERSITY,GROUPELACA-001,35790.32,2010
,GEORGIA STATE UNIVERSITY,GSUBUILDIN-001,181614.51,2010
,GEORGIA STATE UNIVERSITY,GSUDEFAULT-001,1694.06,2010
,GEORGIA STATE UNIVERSITY,GWINNETTCO-003,60208.11,2010
,GEORGIA STATE UNIVERSITY,"GYLYS,BETH-001",375.00,2010
,GEORGIA STATE UNIVERSITY,"HA,HONGJUN-001",200.00,2010
,GEORGIA STATE UNIVERSITY,HALEMFGCO-001,937.60,2010
,GEORGIA STATE UNIVERSITY,HAMBYSCOM-001,9450.00,2010
,GEORGIA STATE UNIVERSITY,"HAMELBERG,-001",296.01,2010
,GEORGIA STATE UNIVERSITY,"HAMPTON,DE-001",540.00,2010
,GEORGIA STATE UNIVERSITY,"HAN,JUN-001",996.80,2010
,GEORGIA STATE UNIVERSITY,HANNAWADIA-001,7969.04,2010
,GEORGIA STATE UNIVERSITY,HARALSONGR-001,9763.58,2010
,GEORGIA STATE UNIVERSITY,HARDYCHEVR-002,45092.00,2010
,GEORGIA STATE UNIVERSITY,HARRINGTON-036,18375.00,2010
,GEORGIA STATE UNIVERSITY,"HARRISON,J-001",212.00,2010
