Department of Audits and Accounts,,,,
Obligations,,,,
,Organization,Vendor Name,Obligation Amount,Fiscal Year
,GEORGIA STATE UNIVERSITY,"BERAN,MICH-001",1445.60,2011
,GEORGIA STATE UNIVERSITY,"BERNDT,RYA-001",1945.85,2011
,GEORGIA STATE UNIVERSITY,"BERRY,JASO-001",808.60,2011
,GEORGIA STATE UNIVERSITY,BESTBUYCOI-001,3264.40,2011
,GEORGIA STATE UNIVERSITY,BH-001,501.00,2011
,GEORGIA STATE UNIVERSITY,"BIAN,ZHEN-001",224.00,2011
,GEORGIA STATE UNIVERSITY,"BINGHAM,GA-001",755.64,2011
,GEORGIA STATE UNIVERSITY,BIORADLABO-001,9968.67,2011
,GEORGIA STATE UNIVERSITY,BLACKBOARD-001,22053.90,2011
,GEORGIA STATE UNIVERSITY,"BLISS,LISA-001",4754.01,2011
,GEORGIA STATE UNIVERSITY,BMWMOTORCY-002,4085.56,2011
,GEORGIA STATE UNIVERSITY,BOARDOFREG-001,278219.98,2011
,GEORGIA STATE UNIVERSITY,"BODINE,EVA-001",422.15,2011
,GEORGIA STATE UNIVERSITY,"BOHANNON,J-001",400.00,2011
,GEORGIA STATE UNIVERSITY,BOOKERPROM-001,268.25,2011
,GEORGIA STATE UNIVERSITY,BORROUGHS-001,660.74,2011
,GEORGIA STATE UNIVERSITY,"BOSTON,QUE-001",825.34,2011
,GEORGIA STATE UNIVERSITY,BOYKINENTE-001,456.00,2011
,GEORGIA STATE UNIVERSITY,BRALEYCOMP-001,16380.00,2011
,GEORGIA STATE UNIVERSITY,BRANCHCONT-001,57050.00,2011
,GEORGIA STATE UNIVERSITY,"BRANNON,PA-001",1222.56,2011
,GEORGIA STATE UNIVERSITY,BRANSCOMBJ-002,700.00,2011
,GEORGIA STATE UNIVERSITY,BRETFORDMA-001,13646.94,2011
,GEORGIA STATE UNIVERSITY,BRICKMANGR-001,12049.00,2011
,GEORGIA STATE UNIVERSITY,"BRINTON,MA-001",5386.00,2011
,GEORGIA STATE UNIVERSITY,BRITNERSHA-001,4500.00,2011
,GEORGIA STATE UNIVERSITY,"BROCK,NICO-001",486.40,2011
,GEORGIA STATE UNIVERSITY,BROOKSIDEA-001,9859.38,2011
,GEORGIA STATE UNIVERSITY,"BROSNAN,SA-001",2386.80,2011
,GEORGIA STATE UNIVERSITY,"BROWN,DANA-001",946.10,2011
,GEORGIA STATE UNIVERSITY,"BROWN,SHAW-001",6396.65,2011
,GEORGIA STATE UNIVERSITY,BRUKERINSP-001,10710.00,2011
,GEORGIA STATE UNIVERSITY,BRUNSONINS-001,2811.30,2011
,GEORGIA STATE UNIVERSITY,"BRYANT,LAW-001",2300.00,2011
,GEORGIA STATE UNIVERSITY,BRYANTBOND-001,5647.00,2011
,GEORGIA STATE UNIVERSITY,"BUCKNER,TE-001",326.60,2011
,GEORGIA STATE UNIVERSITY,"BUNTING,JO-001",1830.00,2011
,GEORGIA STATE UNIVERSITY,"BURKE,JOEL-001",1757.04,2011
,GEORGIA STATE UNIVERSITY,BURPERCORP-003,20514.50,2011
,GEORGIA STATE UNIVERSITY,"BURTLE,LAU-001",970.00,2011
,GEORGIA STATE UNIVERSITY,"BURTON,COU-002",21.50,2011
,GEORGIA STATE UNIVERSITY,"BUSCEMA,MA-001",821.40,2011
,GEORGIA STATE UNIVERSITY,"BUTLER,ANN-001",1107.68,2011
,GEORGIA STATE UNIVERSITY,"BUTLER,CAR-001",30.00,2011
,GEORGIA STATE UNIVERSITY,"BUTTS,JOHN-001",2200.00,2011
,GEORGIA STATE UNIVERSITY,CAENTECHNO-001,8.00,2011
,GEORGIA STATE UNIVERSITY,"CALDERON,M-001",292.48,2011
,GEORGIA STATE UNIVERSITY,CALDWELLEL-001,146000.00,2011
,GEORGIA STATE UNIVERSITY,"CALEY,SYLV-001",4529.01,2011
,GEORGIA STATE UNIVERSITY,CALIFORNIA-020,54.89,2011
,GEORGIA STATE UNIVERSITY,"CAMPBELL,K-001",917.40,2011
,GEORGIA STATE UNIVERSITY,CAMPBELLC-001,19608.76,2011
